Schedule name,Environment name,Schedule run date,Animal ID,End Summary - Condition (1),End Summary - Trials Completed (1),End Summary - No Correction Trials (1),End Summary - % Correct (1),End Summary - Left ITI Touches (1),End Summary - Right ITI Touches (1),Correct touch latency,Correct touch latency mean,Correct touch latency detail (1),Correct touch latency detail (2),Correct touch latency detail (3),Correct touch latency detail (4),Correct touch latency detail (5),Correct touch latency detail (6),Correct touch latency detail (7),Correct touch latency detail (8),Correct touch latency detail (9),Correct touch latency detail (10),Correct touch latency detail (11),Correct touch latency detail (12),Correct touch latency detail (13),Correct touch latency detail (14),Correct touch latency detail (15),Correct touch latency detail (16),Correct touch latency detail (17),Correct touch latency detail (18),Correct touch latency detail (19),Correct touch latency detail (20),Correct touch latency detail (21),Correct touch latency detail (22),Correct touch latency detail (23),Correct touch latency detail (24),Correct touch latency detail (25),Correct touch latency detail (26),Correct touch latency detail (27),Correct touch latency detail (28),Correct touch latency detail (29),Correct touch latency detail (30),Blank Touch Latency,Blank Touch Latency mean,Blank Touch Latency detail (1),Blank Touch Latency detail (2),Blank Touch Latency detail (3),Blank Touch Latency detail (4),Blank Touch Latency detail (5),Blank Touch Latency detail (6),Blank Touch Latency detail (7),Blank Touch Latency detail (8),Blank Touch Latency detail (9),Blank Touch Latency detail (10),Blank Touch Latency detail (11),Blank Touch Latency detail (12),Blank Touch Latency detail (13),Blank Touch Latency detail (14),Blank Touch Latency detail (15),Blank Touch Latency detail (16),Blank Touch Latency detail (17),Blank Touch Latency detail (18),Blank Touch Latency detail (19),Blank Touch Latency detail (20),Blank Touch Latency detail (21),Blank Touch Latency detail (22),Blank Touch Latency detail (23),Blank Touch Latency detail (24),Blank Touch Latency detail (25),Blank Touch Latency detail (26),Blank Touch Latency detail (27),Blank Touch Latency detail (28),Blank Touch Latency detail (29),Correct Reward Collection,Correct Reward Collection mean,Correct Reward Collection detail (1),Correct Reward Collection detail (2),Correct Reward Collection detail (3),Correct Reward Collection detail (4),Correct Reward Collection detail (5),Correct Reward Collection detail (6),Correct Reward Collection detail (7),Correct Reward Collection detail (8),Correct Reward Collection detail (9),Correct Reward Collection detail (10),Correct Reward Collection detail (11),Correct Reward Collection detail (12),Correct Reward Collection detail (13),Correct Reward Collection detail (14),Correct Reward Collection detail (15),Correct Reward Collection detail (16),Correct Reward Collection detail (17),Correct Reward Collection detail (18),Correct Reward Collection detail (19),Correct Reward Collection detail (20),Correct Reward Collection detail (21),Correct Reward Collection detail (22),Correct Reward Collection detail (23),Correct Reward Collection detail (24),Correct Reward Collection detail (25),Correct Reward Collection detail (26),Correct Reward Collection detail (27),Correct Reward Collection detail (28),Correct Reward Collection detail (29),Correct Reward Collection detail (30),Single Trial Result - Condition (1),Single Trial Result - Condition (2),Single Trial Result - Condition (3),Single Trial Result - Condition (4),Single Trial Result - Condition (5),Single Trial Result - Condition (6),Single Trial Result - Condition (7),Single Trial Result - Condition (8),Single Trial Result - Condition (9),Single Trial Result - Condition (10),Single Trial Result - Condition (11),Single Trial Result - Condition (12),Single Trial Result - Condition (13),Single Trial Result - Condition (14),Single Trial Result - Condition (15),Single Trial Result - Condition (16),Single Trial Result - Condition (17),Single Trial Result - Condition (18),Single Trial Result - Condition (19),Single Trial Result - Condition (20),Single Trial Result - Condition (21),Single Trial Result - Condition (22),Single Trial Result - Condition (23),Single Trial Result - Condition (24),Single Trial Result - Condition (25),Single Trial Result - Condition (26),Single Trial Result - Condition (27),Single Trial Result - Condition (28),Single Trial Result - Condition (29),Single Trial Result - Condition (30),Single Trial Result - Trial Percent Correct (1),Single Trial Result - Trial Percent Correct (2),Single Trial Result - Trial Percent Correct (3),Single Trial Result - Trial Percent Correct (4),Single Trial Result - Trial Percent Correct (5),Single Trial Result - Trial Percent Correct (6),Single Trial Result - Trial Percent Correct (7),Single Trial Result - Trial Percent Correct (8),Single Trial Result - Trial Percent Correct (9),Single Trial Result - Trial Percent Correct (10),Single Trial Result - Trial Percent Correct (11),Single Trial Result - Trial Percent Correct (12),Single Trial Result - Trial Percent Correct (13),Single Trial Result - Trial Percent Correct (14),Single Trial Result - Trial Percent Correct (15),Single Trial Result - Trial Percent Correct (16),Single Trial Result - Trial Percent Correct (17),Single Trial Result - Trial Percent Correct (18),Single Trial Result - Trial Percent Correct (19),Single Trial Result - Trial Percent Correct (20),Single Trial Result - Trial Percent Correct (21),Single Trial Result - Trial Percent Correct (22),Single Trial Result - Trial Percent Correct (23),Single Trial Result - Trial Percent Correct (24),Single Trial Result - Trial Percent Correct (25),Single Trial Result - Trial Percent Correct (26),Single Trial Result - Trial Percent Correct (27),Single Trial Result - Trial Percent Correct (28),Single Trial Result - Trial Percent Correct (29),Single Trial Result - Trial Percent Correct (30),Day,Sex,Genotype
A_Mouse LD Initial Touch Training v2,Chamber 8 [Env. 24],9/25/2025 17:54,101,734.401,30,0,0,5,6,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.49,50.373,68.826,97.829,121.981,135.504,167.132,185.751,209.033,226.463,252.463,271.083,286.791,307.143,322.803,338.67,361.085,399.487,440.108,462.776,501.275,517.679,537.842,579.241,593.586,616.309,632.573,663.603,705.308,734.4,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,0,100,1,F,+/-
A_Mouse LD Must Touch Training v2,Chamber 8 [Env. 24],9/26/2025 16:57,101,788.885,30,0,0,19,23,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.48,82.549,103.598,123.002,146.699,194.125,218.496,254.067,270.71,283.015,304.599,345.331,368.428,411.446,432.19,447.114,467.892,490.2,599.167,613.668,625.951,642.989,658.498,679.935,695.349,709.697,724.527,741.893,776.051,788.884,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,2,F,+/-
A_Mouse LD Punish Incorrect Training v2,Chamber 8 [Env. 24],9/27/2025 19:30,101,519.693,30,0,76.667,14,51,78.415,3.409,3.756,3.288,8.516,4.843,7.546,2.638,2.152,5.41,0.71,0.85,3.208,0.989,1.699,3.754,4.696,2.095,2.08,2.75,6.381,4.07,3.273,2.495,1.216,,,,,,,,18.975,2.711,2.539,1.511,3.284,1.69,8.174,0.915,0.862,,,,,,,,,,,,,,,,,,,,,,,30.191,1.313,1.31,1.06,1.264,0.964,1.025,1.301,1.059,1.456,1.054,2.13,1.008,1.234,1.794,1.303,1.141,1.189,1.04,0.949,1.308,1.703,2.256,1.111,1.532,,,,,,,,20.127,36.704,57.923,77.124,93.684,114.317,129.91,144.184,163.294,176.552,190.737,206.05,220.358,234.978,252.486,271.836,286.145,300.691,315.84,335.517,355.6,372.527,391.347,415.466,432.725,455.502,470.652,487.795,505.686,519.679,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,100,0,100,100,100,0,0,100,3,F,+/-
A_Mouse LD Punish Incorrect Training v2,Chamber 8 [Env. 24],9/29/2025 17:26,101,483.233,30,0,90,35,42,59.188,2.192,1.259,1.2,1.33,1.288,1.302,4.466,0.97,0.86,3.37,2.332,2.608,0.999,1.815,3.181,2.348,6.509,2.979,1.244,3.405,2.255,1.457,2.935,2.811,0.958,1.049,3.192,1.066,,,,14.798,4.933,3.215,3.616,7.967,,,,,,,,,,,,,,,,,,,,,,,,,,,37.374,1.384,0.839,1.001,1.399,1.172,2.557,0.978,1.648,1.399,1.065,1.189,1.309,1.892,0.973,0.838,1.074,1.819,0.897,2.438,2.02,2.172,0.942,0.901,0.876,0.895,1.628,1.239,2.214,,,,23.942,37.252,50.78,65.392,84.937,99.214,114.03,130.635,146.353,159.784,175.576,190.358,205.568,219.786,233.611,249.349,264.576,285.304,306.478,330.817,346.14,361.718,383.919,397.324,412.408,426.861,440.041,454.013,469.19,483.232,0,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,4,F,+/-
A_Mouse LD Punish Incorrect Training v2,Chamber 8 [Env. 24],9/30/2025 15:36,101,507.972,30,0,90,13,19,80.458,2.98,6.696,1.294,4.73,3.689,3.442,1.117,2.811,0.886,0.795,0.858,1.543,1.299,1.492,0.733,3.691,2.788,3.74,3.276,4.195,0.73,15.736,1.584,2.892,2.15,1.904,2.387,4,,,,12.263,4.088,3.736,3.015,5.512,,,,,,,,,,,,,,,,,,,,,,,,,,,35.912,1.33,1.345,1.24,1.005,0.977,0.995,1.635,1.213,1,1.937,1.033,1.065,1.606,1.335,0.866,1.884,1.037,0.904,0.899,2.679,1.499,1.376,0.796,1.357,0.837,1.722,0.919,2.751,,,,28.783,43.409,59.996,75.765,90.857,104.689,119.714,139.652,152.896,167.275,182.03,195.575,214.902,229.036,241.618,259.271,274.153,289.788,305.049,324.231,337.76,365.84,379.961,399.279,414.845,431.479,448.274,469.587,489.261,507.972,100,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,0,100,100,5,F,+/-
A_Mouse LD 1 choice v2,Chamber 8 [Env. 24],10/1/2025 15:37,101,583.124,30,0,46.667,5,13,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.484,49.8,67.093,86.135,104.084,120.712,138.568,160.062,181.618,195.723,209.194,229.985,249.211,273.827,287.834,305.515,323.071,355.35,373.265,397.6,417.073,429.882,448.776,475.155,493.303,506.46,524.288,545.762,569.41,583.109,100,0,0,0,0,100,0,0,0,100,100,100,100,0,100,0,0,0,0,100,0,100,100,100,0,100,0,0,100,100,6,F,+/-
A_Mouse LD 1 choice v2,Chamber 8 [Env. 24],10/2/2025 17:04,101,528.461,30,0,66.667,19,2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.082,44.257,65.993,83.928,102.297,125.918,139.12,152.349,166.234,180.835,196.316,211.215,228.478,241.529,259.719,280.726,296.927,315.165,332.511,349.524,371.09,385.279,403.187,423.975,449.989,465.215,476.663,493.393,511.812,528.447,100,0,0,0,0,100,100,100,100,100,100,100,100,100,0,100,100,0,0,100,0,100,0,0,100,100,100,100,100,100,7,F,+/-
A_Mouse LD 1 choice v2,Chamber 8 [Env. 24],10/3/2025 17:45,101,542.369,30,0,100,17,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.591,35.264,51.332,68.111,82.722,98.073,112.746,126.907,141.676,158.396,174.021,191.769,214.439,228.797,241.887,261.191,274.047,295.146,309.074,323.686,338.833,355.077,369.463,384.418,399.36,418.385,434.632,513.867,528.072,542.368,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,8,F,+/-
A_Mouse LD 1 choice v2,Chamber 8 [Env. 24],10/5/2025 17:29,101,468.436,30,0,93.333,20,4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.628,36.492,51.616,64.975,78.256,101.886,116.13,131.501,147.272,161.41,176.265,189.588,207,221.557,235.737,251.62,264.524,277.815,292.604,306.335,322.011,336.381,351.709,365.463,381.468,396.464,414.019,437.962,451.942,468.422,100,100,100,100,100,0,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,9,F,+/-
A_Mouse LD 1 Reversal 9,Chamber 8 [Env. 24],10/7/2025 15:54,101,882.889,30,0,30,1,5,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.021,51.084,69.382,91.132,104.229,123.248,140.979,156.783,178.336,194.805,216.645,239.789,263.737,286.06,305.867,328.093,346.638,374.383,394.402,412.236,437.659,459.897,491.418,538.304,705.358,728.339,782.946,828.788,857.865,882.888,0,0,100,0,100,0,100,100,0,100,0,100,0,0,0,0,100,0,0,0,0,0,0,0,100,0,0,100,0,0,10,F,+/-
