Schedule name,Environment name,Schedule run date,Animal ID,End Summary - Condition (1),End Summary - Trials Completed (1),End Summary - Session Time (1),End Summary - Percentage Correct (1),End Summary - Left ITI touches (1),End Summary - Right ITI touches (1),End Summary - Left Blank Touches - Generic Counter (1),End Summary - Right Blank Touches - Generic Counter (1),End Summary - Top row touches - Generic Counter (1),Trial Analysis - Condition (1),Trial Analysis - Condition (2),Trial Analysis - Condition (3),Trial Analysis - Condition (4),Trial Analysis - Condition (5),Trial Analysis - Condition (6),Trial Analysis - Condition (7),Trial Analysis - Condition (8),Trial Analysis - Condition (9),Trial Analysis - Condition (10),Trial Analysis - Condition (11),Trial Analysis - Condition (12),Trial Analysis - Condition (13),Trial Analysis - Condition (14),Trial Analysis - Condition (15),Trial Analysis - Condition (16),Trial Analysis - Condition (17),Trial Analysis - Condition (18),Trial Analysis - Condition (19),Trial Analysis - Condition (20),Trial Analysis - Condition (21),Trial Analysis - Condition (22),Trial Analysis - Condition (23),Trial Analysis - Condition (24),Trial Analysis - Condition (25),Trial Analysis - Condition (26),Trial Analysis - Condition (27),Trial Analysis - Condition (28),Trial Analysis - Condition (29),Trial Analysis - Condition (30),Trial Analysis - No. Correct (1),Trial Analysis - No. Correct (2),Trial Analysis - No. Correct (3),Trial Analysis - No. Correct (4),Trial Analysis - No. Correct (5),Trial Analysis - No. Correct (6),Trial Analysis - No. Correct (7),Trial Analysis - No. Correct (8),Trial Analysis - No. Correct (9),Trial Analysis - No. Correct (10),Trial Analysis - No. Correct (11),Trial Analysis - No. Correct (12),Trial Analysis - No. Correct (13),Trial Analysis - No. Correct (14),Trial Analysis - No. Correct (15),Trial Analysis - No. Correct (16),Trial Analysis - No. Correct (17),Trial Analysis - No. Correct (18),Trial Analysis - No. Correct (19),Trial Analysis - No. Correct (20),Trial Analysis - No. Correct (21),Trial Analysis - No. Correct (22),Trial Analysis - No. Correct (23),Trial Analysis - No. Correct (24),Trial Analysis - No. Correct (25),Trial Analysis - No. Correct (26),Trial Analysis - No. Correct (27),Trial Analysis - No. Correct (28),Trial Analysis - No. Correct (29),Trial Analysis - No. Correct (30),Trial Analysis - Reward Collection Latency (1),Trial Analysis - Reward Collection Latency (2),Trial Analysis - Reward Collection Latency (3),Trial Analysis - Reward Collection Latency (4),Trial Analysis - Reward Collection Latency (5),Trial Analysis - Reward Collection Latency (6),Trial Analysis - Reward Collection Latency (7),Trial Analysis - Reward Collection Latency (8),Trial Analysis - Reward Collection Latency (9),Trial Analysis - Reward Collection Latency (10),Trial Analysis - Reward Collection Latency (11),Trial Analysis - Reward Collection Latency (12),Trial Analysis - Reward Collection Latency (13),Trial Analysis - Reward Collection Latency (14),Trial Analysis - Reward Collection Latency (15),Trial Analysis - Reward Collection Latency (16),Trial Analysis - Reward Collection Latency (17),Trial Analysis - Reward Collection Latency (18),Trial Analysis - Reward Collection Latency (19),Trial Analysis - Reward Collection Latency (20),Trial Analysis - Reward Collection Latency (21),Trial Analysis - Reward Collection Latency (22),Trial Analysis - Reward Collection Latency (23),Trial Analysis - Reward Collection Latency (24),Trial Analysis - Reward Collection Latency (25),Trial Analysis - Reward Collection Latency (26),Trial Analysis - Reward Collection Latency (27),Trial Analysis - Reward Collection Latency (28),Trial Analysis - Reward Collection Latency (29),Trial Analysis - Reward Collection Latency (30),Trial Analysis - Reward Collection Latency mean,Trial Analysis - Correct Image Response Latency mean,Trial Analysis - Incorrect Image Latency mean,Day,Sex,Genotype
A_Mouse LD 1 choice v2,Chamber 8 [Env. 24],2025-10-01 15:37:14,101,583.124,30,583.124,46.667,5,13,10,12,39,30.484,49.8,67.093,86.135,104.084,120.712,138.568,160.062,181.618,195.723,209.194,229.985,249.211,273.827,287.834,305.515,323.071,355.35,373.265,397.6,417.073,429.882,448.776,475.155,493.303,506.46,524.288,545.762,569.41,583.109,1,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.946,-,-,-,-,0.87,-,-,-,0.731,0.843,0.755,0.679,-,0.728,-,-,-,-,0.87,-,0.631,1.063,0.766,-,0.78,-,-,1.327,0.821,0.844,4.197,2.915,1,F,+/-
A_Mouse LD 1 choice v2,Chamber 8 [Env. 24],2025-10-02 17:04:46,101,528.461,30,528.461,66.667,19,2,23,7,37,24.082,44.257,65.993,83.928,102.297,125.918,139.12,152.349,166.234,180.835,196.316,211.215,228.478,241.529,259.719,280.726,296.927,315.165,332.511,349.524,371.09,385.279,403.187,423.975,449.989,465.215,476.663,493.393,511.812,528.447,1,0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.023,-,-,-,-,0.861,0.778,0.645,0.711,1.002,0.878,0.708,0.86,0.719,-,0.745,0.925,-,-,1.206,-,0.74,-,-,0.909,0.926,0.669,0.852,1.009,0.655,0.841,2.718,2.344,2,F,+/-
A_Mouse LD 1 choice v2,Chamber 8 [Env. 24],2025-10-03 17:45:38,101,542.369,30,542.369,100.0,17,4,21,2,15,18.591,35.264,51.332,68.111,82.722,98.073,112.746,126.907,141.676,158.396,174.021,191.769,214.439,228.797,241.887,261.191,274.047,295.146,309.074,323.686,338.833,355.077,369.463,384.418,399.36,418.385,434.632,513.867,528.072,542.368,1,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.041,0.775,0.771,0.844,0.896,0.826,0.821,0.871,0.851,0.844,0.745,1.13,1.111,0.644,0.762,0.662,1.024,0.714,0.735,0.764,1.141,0.842,0.926,0.779,0.836,0.745,0.797,0.711,0.745,0.698,0.835,4.593,-,3,F,+/-
A_Mouse LD 1 choice v2,Chamber 8 [Env. 24],2025-10-05 17:29:01,101,468.436,30,468.436,93.333,20,4,18,2,23,20.628,36.492,51.616,64.975,78.256,101.886,116.13,131.501,147.272,161.41,176.265,189.588,207.0,221.557,235.737,251.62,264.524,277.815,292.604,306.335,322.011,336.381,351.709,365.463,381.468,396.464,414.019,437.962,451.942,468.422,1,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.648,0.765,0.759,0.582,0.536,-,0.692,0.713,0.637,0.627,0.608,0.589,-,0.567,0.759,0.856,0.632,0.597,0.699,0.574,0.703,0.629,0.784,0.634,0.661,0.667,0.579,0.648,0.675,0.612,0.658,2.265,2.512,4,F,+/-
A_Mouse LD 1 Reversal 9,Chamber 8 [Env. 24],2025-10-07 15:54:54,101,882.889,30,882.889,30.0,1,5,10,13,30,27.021,51.084,69.382,91.132,104.229,123.248,140.979,156.783,178.336,194.805,216.645,239.789,263.737,286.06,305.867,328.093,346.638,374.383,394.402,412.236,437.659,459.897,491.418,538.304,705.358,728.339,782.946,828.788,857.865,882.888,0,0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,-,-,0.861,-,1.127,-,1.979,1.069,-,0.946,-,1.328,-,-,-,-,1.446,-,-,-,-,-,-,-,1.124,-,-,1.293,-,-,1.241,23.789,8.980,5,F,+/-
A_Mouse LD 1 Reversal 9,Chamber 8 [Env. 24],2025-10-08 15:41:32,101,646.733,30,646.733,53.333,3,9,9,20,42,30.055,47.891,74.131,93.419,121.166,142.665,156.034,171.302,190.189,208.938,222.88,248.158,271.172,290.152,324.808,348.352,371.67,389.307,411.772,433.879,448.728,470.228,487.409,506.033,531.717,555.52,588.129,610.942,631.075,646.718,1,1,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.24,1.703,-,1.029,0.915,-,1.063,1.3,-,-,1.407,0.745,-,-,1.707,-,-,1.755,-,-,1.653,1.357,1.455,1.24,-,-,0.986,-,-,0.906,1.279,4.348,3.389,6,F,+/-
A_Mouse LD 1 Reversal 9,Chamber 8 [Env. 24],2025-10-10 16:46:51,101,651.881,30,651.881,60.0,4,34,7,36,55,28.447,47.408,67.654,89.143,112.365,130.45,151.543,172.484,188.258,204.901,222.769,241.616,260.459,278.59,293.663,312.472,333.061,364.977,387.069,405.593,425.04,479.869,504.206,521.001,539.946,554.582,579.567,601.772,617.654,651.88,0,0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,-,-,-,-,-,1.095,-,0.905,1.201,1.398,0.841,1.225,1.282,-,1.096,0.964,-,-,-,0.965,1.265,1.194,-,1.458,0.968,1.075,-,2.451,0.95,1.102,1.191,4.928,3.134,7,F,+/-
A_Mouse LD 1 Reversal 9,Chamber 8 [Env. 24],2025-10-11 17:15:34,101,650.14,30,650.14,90.0,2,26,7,28,40,28.835,52.679,72.065,93.629,111.214,126.831,149.581,179.506,196.135,214.418,230.39,252.767,266.36,297.696,310.713,327.752,346.711,367.717,392.205,409.485,433.4,460.985,493.619,509.327,534.167,554.492,576.513,601.603,616.479,650.139,1,1,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.645,0.806,1.01,1.136,-,1.223,1.078,2.766,1.193,0.901,0.852,1.095,1.333,1.297,0.766,1.181,1.538,0.96,1.473,0.94,-,0.972,-,0.961,1.725,0.829,1.265,1.342,0.861,1.509,1.172,3.28,3.943,8,F,+/-
A_Mouse LD 1 choice v2,Chamber 4 [Env. 20],2025-10-11 17:38:11,104,610.775,30,610.775,66.667,14,12,20,15,50,23.798,43.335,67.302,88.724,108.883,125.422,141.993,162.84,179.494,198.985,219.89,241.451,277.732,290.284,312.209,328.635,353.765,379.307,398.57,413.443,441.627,455.71,487.628,500.933,518.464,541.657,558.621,575.426,597.474,610.774,1,0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.707,-,-,0.796,-,0.756,0.723,-,0.751,-,-,1.103,0.781,0.705,0.704,0.761,-,-,-,1.043,-,0.828,1.531,0.806,0.843,2.834,0.738,0.713,0.767,0.806,0.935,4.135,4.246,1,F,+/+
A_Mouse LD 1 choice v2,Chamber 8 [Env. 24],2025-10-12 16:45:22,104,511.774,30,511.774,63.333,15,10,17,10,33,18.62,40.623,55.959,69.844,82.836,103.505,116.842,135.32,157.886,178.575,199.159,212.834,233.781,246.827,264.547,277.441,290.872,304.221,326.005,341.267,355.318,369.129,383.914,397.46,411.314,432.471,455.444,475.821,494.438,511.773,1,0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.843,-,0.798,0.732,0.693,-,0.714,-,-,-,0.748,0.794,-,0.722,0.742,0.796,0.709,0.766,-,0.733,0.745,0.768,0.834,0.786,0.761,-,-,-,-,1.275,0.787,1.979,4.362,2,F,+/+
