Schedule name,Environment name,Schedule run date,Animal ID,End Summary - Condition (1),End Summary - Trials Completed (1),End Summary - No Correction Trials (1),End Summary - % Correct (1),End Summary - Left ITI Touches (1),End Summary - Right ITI Touches (1),10 Trial Block - Trials (1),10 Trial Block - Trials (2),10 Trial Block - Trials (3),10 Trial Block - Correct Trial (1),10 Trial Block - Correct Trial (2),10 Trial Block - Correct Trial (3),10 Trial Block - Correct Percent (1),10 Trial Block - Correct Percent (2),10 Trial Block - Correct Percent (3),1 Trial analysis - Condition (1),1 Trial analysis - Condition (2),1 Trial analysis - Condition (3),1 Trial analysis - Condition (4),1 Trial analysis - Condition (5),1 Trial analysis - Condition (6),1 Trial analysis - Condition (7),1 Trial analysis - Condition (8),1 Trial analysis - Condition (9),1 Trial analysis - Condition (10),1 Trial analysis - Condition (11),1 Trial analysis - Condition (12),1 Trial analysis - Condition (13),1 Trial analysis - Condition (14),1 Trial analysis - Condition (15),1 Trial analysis - Condition (16),1 Trial analysis - Condition (17),1 Trial analysis - Condition (18),1 Trial analysis - Condition (19),1 Trial analysis - Condition (20),1 Trial analysis - Condition (21),1 Trial analysis - Condition (22),1 Trial analysis - Condition (23),1 Trial analysis - Condition (24),1 Trial analysis - Condition (25),1 Trial analysis - Condition (26),1 Trial analysis - Condition (27),1 Trial analysis - Condition (28),1 Trial analysis - Condition (29),1 Trial analysis - Condition (30),1 Trial analysis - Percentage Correct (1),1 Trial analysis - Percentage Correct (2),1 Trial analysis - Percentage Correct (3),1 Trial analysis - Percentage Correct (4),1 Trial analysis - Percentage Correct (5),1 Trial analysis - Percentage Correct (6),1 Trial analysis - Percentage Correct (7),1 Trial analysis - Percentage Correct (8),1 Trial analysis - Percentage Correct (9),1 Trial analysis - Percentage Correct (10),1 Trial analysis - Percentage Correct (11),1 Trial analysis - Percentage Correct (12),1 Trial analysis - Percentage Correct (13),1 Trial analysis - Percentage Correct (14),1 Trial analysis - Percentage Correct (15),1 Trial analysis - Percentage Correct (16),1 Trial analysis - Percentage Correct (17),1 Trial analysis - Percentage Correct (18),1 Trial analysis - Percentage Correct (19),1 Trial analysis - Percentage Correct (20),1 Trial analysis - Percentage Correct (21),1 Trial analysis - Percentage Correct (22),1 Trial analysis - Percentage Correct (23),1 Trial analysis - Percentage Correct (24),1 Trial analysis - Percentage Correct (25),1 Trial analysis - Percentage Correct (26),1 Trial analysis - Percentage Correct (27),1 Trial analysis - Percentage Correct (28),1 Trial analysis - Percentage Correct (29),1 Trial analysis - Percentage Correct (30),Correct touch latency,Correct touch latency mean,Incorrect Touch Latency mean,Incorrect Touch Latency,Incorrect Touch Latency detail (1),Incorrect Touch Latency detail (2),Incorrect Touch Latency detail (3),Incorrect Touch Latency detail (4),Incorrect Touch Latency detail (5),Incorrect Touch Latency detail (6),Incorrect Touch Latency detail (7),Incorrect Touch Latency detail (8),Incorrect Touch Latency detail (9),Incorrect Touch Latency detail (10),Incorrect Touch Latency detail (11),Incorrect Touch Latency detail (12),Incorrect Touch Latency detail (13),Incorrect Touch Latency detail (14),Incorrect Touch Latency detail (15),Incorrect Touch Latency detail (16),Incorrect Touch Latency detail (17),Incorrect Touch Latency detail (18),Incorrect Touch Latency detail (19),Incorrect Touch Latency detail (20),Incorrect Touch Latency detail (21),Incorrect Touch Latency detail (22),Incorrect Touch Latency detail (23),Incorrect Touch Latency detail (24),Incorrect Touch Latency detail (25),Incorrect Touch Latency detail (26),Incorrect Touch Latency detail (27),Incorrect Touch Latency detail (28),Incorrect Touch Latency detail (29),Incorrect Touch Latency detail (30),Incorrect Touch Latency detail (31),Incorrect Touch Latency detail (32),Incorrect Touch Latency detail (33),Incorrect Touch Latency detail (34),Incorrect Touch Latency detail (35),Incorrect Touch Latency detail (36),Incorrect Touch Latency detail (37),Incorrect Touch Latency detail (38),Incorrect Touch Latency detail (39),Correct Reward Collection,Correct Reward Collection detail (1),Correct Reward Collection detail (2),Correct Reward Collection detail (3),Correct Reward Collection detail (4),Correct Reward Collection detail (5),Correct Reward Collection detail (6),Correct Reward Collection detail (7),Correct Reward Collection detail (8),Correct Reward Collection detail (9),Correct Reward Collection detail (10),Correct Reward Collection detail (11),Correct Reward Collection detail (12),Correct Reward Collection detail (13),Correct Reward Collection detail (14),Correct Reward Collection detail (15),Correct Reward Collection detail (16),Correct Reward Collection detail (17),Correct Reward Collection detail (18),Correct Reward Collection detail (19),Correct Reward Collection detail (20),Correct Reward Collection detail (21),Correct Reward Collection detail (22),Correct Reward Collection detail (23),Correct Reward Collection detail (24),Correct Reward Collection detail (25),Correct Reward Collection detail (26),Correct Reward Collection detail (27),Correct Reward Collection detail (28),Correct Reward Collection mean,Day,Sex,Genotype
A_Mouse Pairwise Punish Incorrect Training v3,Chamber 8 [Env. 24],2025-10-12 16:26:13,101,891.916,30,0,90.0,41,67,319.835,596.76,891.914,9.0,9.0,9.0,90.0,90.0,90.0,36.626,61.144,91.11,118.307,160.418,190.294,218.487,256.424,293.034,319.835,348.044,371.839,396.843,423.8,450.102,472.459,499.017,526.52,559.768,596.76,624.726,658.354,685.774,717.747,747.971,775.32,806.924,835.481,860.608,891.914,100,100,100,100,100,100,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1,F,+/-
A_Mouse Pairwise Discrimination Copy,Chamber 8 [Env. 24],2025-10-14 15:25:05,101,1380.025,30,16,56.667,28,27,313.21,750.208,1380.009,5.0,6.0,6.0,50.0,55.0,56.666,39.288,70.632,100.659,139.903,161.483,195.486,229.53,261.638,286.891,313.21,345.779,377.982,404.966,432.512,468.522,500.464,648.581,686.219,713.441,750.208,781.139,811.318,860.564,1177.164,1216.676,1251.735,1281.458,1312.103,1342.355,1380.009,100,0,0,0,100,100,0.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,110.622,6.146,4.122,74.202,0.84,1.916,7.109,5.459,3.192,1.821,2.973,1.341,3.521,2.106,5.151,19.933,2.059,2.335,3.307,4.67,5.411,1.058,,,,,,,,,,,,,,,,,,,,,,17.151,1.142,0.672,0.74,0.815,0.842,0.966,0.901,0.861,1.336,0.937,0.712,0.914,1.508,1.292,1.265,0.691,0.827,0.73,,,,,,,,,,,0.953,2,F,+/-
A_Mouse Pairwise Discrimination Copy,Chamber 8 [Env. 24],2025-10-15 15:11:13,101,952.377,30,10,56.667,162,139,328.566,655.261,952.376,5.0,7.0,5.0,50.0,60.0,56.666,39.987,68.227,100.111,131.955,162.892,194.584,228.159,258.178,298.565,328.566,362.564,389.606,416.125,444.702,473.615,503.983,534.988,573.052,618.238,655.261,686.463,708.924,740.378,768.645,801.441,832.788,864.073,898.792,925.818,952.376,0,100,0,0,100,0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,49.589,2.917,1.407,18.294,2.136,0.861,0.764,0.695,0.767,0.664,3.311,1.756,1.283,1.507,0.99,2.802,0.758,,,,,,,,,,,,,,,,,,,,,,,,,,,30.238,0.827,1.869,0.868,0.811,0.889,8.992,0.934,0.716,0.781,0.844,0.644,7.691,0.82,0.814,1.063,0.677,0.998,,,,,,,,,,,,1.779,3,F,+/-
A_Mouse Pairwise Discrimination Copy,Chamber 8 [Env. 24],2025-10-16 17:34:26,101,862.081,30,10,60.0,183,138,285.875,581.03,862.069,5.0,6.0,7.0,50.0,55.0,60.0,31.526,59.832,83.953,117.908,149.299,176.529,204.327,232.097,256.378,285.875,329.659,357.97,385.335,408.835,436.327,468.74,498.98,523.663,551.687,581.03,610.029,635.354,661.221,688.424,714.547,749.65,782.936,810.832,837.875,862.069,100,0,100,100,0,0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,54.944,3.052,2.465,29.58,2.297,5.499,2.101,1.612,3.352,0.996,2.812,1.88,1.361,1.095,3.395,3.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.829,0.741,0.681,0.713,0.631,0.73,0.708,0.663,0.922,1.099,0.681,0.746,1.139,0.816,0.733,0.797,1.041,1.177,0.811,,,,,,,,,,,0.824,4,F,+/-
A_Mouse Pairwise Discrimination Copy,Chamber 8 [Env. 24],2025-10-17 13:40:51,101,821.974,30,10,80.0,86,85,289.566,546.17,821.962,6.0,10.0,8.0,60.0,80.0,80.0,34.789,61.27,84.88,111.449,141.497,173.066,200.598,227.627,258.916,289.566,312.785,337.107,360.983,390.254,415.438,438.64,470.388,499.392,521.931,546.17,574.77,605.101,629.332,653.945,688.793,711.507,740.724,764.644,798.178,821.962,100,100,100,100,0,0,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,74.398,3.1,2.427,14.562,1.933,3.604,1.958,1.341,2.311,3.415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.527,1.064,0.712,0.925,0.866,1.422,1.142,1.088,0.743,0.734,0.775,0.845,0.836,0.672,0.8,0.943,0.735,2.612,0.756,0.822,0.747,0.856,0.708,0.962,0.762,,,,,0.939,5,F,+/-
A_Mouse Pairwise Discrimination Copy,Chamber 8 [Env. 24],2025-10-18 16:20:14,101,785.335,30,10,80.0,117,76,286.558,534.122,785.334,6.0,9.0,9.0,60.0,75.0,80.0,27.939,63.387,89.691,120.098,151.809,177.075,203.807,230.896,254.382,286.558,309.381,332.574,356.143,379.056,404.795,433.248,459.422,487.037,509.793,534.122,557.533,580.91,611.115,634.604,657.425,686.245,710.892,735.573,760.056,785.334,100,0,100,0,100,100,100.0,0.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,56.657,2.361,4.079,24.471,10.137,5.325,1.153,3.895,1.463,2.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.997,0.664,0.755,0.764,0.603,0.634,0.644,0.745,0.79,0.69,0.597,0.699,0.745,0.76,0.67,0.697,1.13,0.675,0.781,0.724,1.189,0.708,0.776,0.682,0.875,,,,,0.75,6,F,+/-
A_Mouse Pairwise Punish Incorrect Training v3,Chamber 3 [Env. 19],2025-10-17 13:23:47,21,860.268,30,0,100.0,68,67,337.295,603.706,860.267,10.0,10.0,10.0,100.0,100.0,100.0,42.811,76.568,103.741,129.049,152.846,182.394,205.966,272.417,314.111,337.295,361.137,389.078,414.73,440.006,473.105,497.774,520.824,545.467,576.031,603.706,628.964,653.934,685.741,712.245,734.66,760.281,786.004,809.916,836.334,860.267,100,100,100,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1,F,+
A_Mouse Pairwise Discrimination Copy,Chamber 3 [Env. 19],2025-10-18 15:46:16,21,1009.611,30,14,53.333,57,64,314.479,747.597,1009.61,6.0,3.0,7.0,60.0,45.0,53.333,32.486,63.569,91.09,138.376,163.523,191.262,221.077,253.327,282.097,314.479,347.371,380.936,556.354,584.859,610.728,636.821,664.93,688.406,718.076,747.597,770.061,797.957,822.058,846.491,877.976,904.048,928.021,957.257,983.221,1009.61,100,0,100,100,100,0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,23.477,1.381,1.612,27.406,1.507,1.823,1.295,1.058,1.131,1.773,1.323,1.585,1.273,2.485,1.979,1.282,1.496,3.181,1.556,1.425,1.234,,,,,,,,,,,,,,,,,,,,,,,17.236,1.854,1.041,1.012,0.987,1.063,0.906,0.801,1.111,0.869,1.06,0.88,0.898,1.01,0.802,0.903,0.833,1.206,,,,,,,,,,,,1.014,2,F,+
A_Mouse Pairwise Punish Incorrect Training v3,Chamber 5 [Env. 21],2025-10-16 17:08:03,23,819.763,30,0,90.0,11,45,292.168,557.892,819.762,9.0,9.0,9.0,90.0,90.0,90.0,29.859,59.791,87.455,111.039,141.229,165.576,208.888,235.355,264.008,292.168,321.717,347.188,372.517,395.985,419.905,451.496,480.959,503.101,531.289,557.892,581.384,606.236,629.907,665.319,693.427,721.897,746.598,770.608,795.198,819.762,100,100,0,100,100,100,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1,F,+
A_Mouse Pairwise Discrimination Copy,Chamber 5 [Env. 21],2025-10-17 13:23:44,23,1001.874,30,12,43.333,32,89,366.791,659.313,1001.862,5.0,6.0,2.0,50.0,55.0,43.333,31.794,63.449,93.785,126.354,175.902,212.762,242.207,308.434,339.953,366.791,405.743,429.998,461.408,492.372,520.486,550.117,579.322,603.557,630.097,659.313,689.242,719.274,745.958,794.672,827.287,857.979,886.687,919.507,977.32,1001.862,100,100,100,0,0,0,100.0,100.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,28.148,1.877,1.491,25.355,1.295,0.731,3.164,1.326,1.059,1.047,1.123,1.87,2.185,0.927,1.524,0.993,1.819,1.116,1.25,1.205,2.721,,,,,,,,,,,,,,,,,,,,,,,33.385,2.234,1.185,2.496,2.755,1.296,2.337,1.352,3.589,4.75,1.427,2.243,2.299,1.588,2.079,1.755,,,,,,,,,,,,,,2.226,2,F,+
