Schedule name,Environment name,Schedule run date,Animal ID,End Summary - Trials Completed (1),Correct touch latency mean,End Summary - % Correct (1),End Summary - Left ITI Touches (1),End Summary - Right ITI Touches (1),trial_percent_correct,trial,correct_touch_latency,session_index,task,correct,x_stim,y,session_key,y_prev,correct_prev,r_prev,bias,prev_choice,wsls,correct_touch_latency_z
A_Mouse LD Initial Touch Training v2,Chamber 1 [Env. 17],2025-09-25 16:12:00,11,30,0.0,0.0,0,1,0.0,1,,1,LD,0,-1,1,11|2025-09-25 16:12:00|LD,,,,1.0,0.0,0.0,
A_Mouse LD Initial Touch Training v2,Chamber 1 [Env. 17],2025-09-25 16:12:00,11,30,0.0,0.0,0,1,0.0,2,,1,LD,0,-1,1,11|2025-09-25 16:12:00|LD,1.0,0.0,-1.0,1.0,1.0,-1.0,
A_Mouse LD Initial Touch Training v2,Chamber 1 [Env. 17],2025-09-25 16:12:00,11,30,0.0,0.0,0,1,100.0,3,,1,LD,1,-1,0,11|2025-09-25 16:12:00|LD,1.0,0.0,-1.0,1.0,1.0,-1.0,
A_Mouse LD Initial Touch Training v2,Chamber 1 [Env. 17],2025-09-25 16:12:00,11,30,0.0,0.0,0,1,0.0,4,,1,LD,0,-1,1,11|2025-09-25 16:12:00|LD,0.0,1.0,1.0,1.0,-1.0,-1.0,
A_Mouse LD Initial Touch Training v2,Chamber 1 [Env. 17],2025-09-25 16:12:00,11,30,0.0,0.0,0,1,0.0,5,,1,LD,0,-1,1,11|2025-09-25 16:12:00|LD,1.0,0.0,-1.0,1.0,1.0,-1.0,
A_Mouse LD Initial Touch Training v2,Chamber 1 [Env. 17],2025-09-25 16:12:00,11,30,0.0,0.0,0,1,0.0,6,,1,LD,0,-1,1,11|2025-09-25 16:12:00|LD,1.0,0.0,-1.0,1.0,1.0,-1.0,
A_Mouse LD Initial Touch Training v2,Chamber 1 [Env. 17],2025-09-25 16:12:00,11,30,0.0,0.0,0,1,0.0,7,,1,LD,0,-1,1,11|2025-09-25 16:12:00|LD,1.0,0.0,-1.0,1.0,1.0,-1.0,
A_Mouse LD Initial Touch Training v2,Chamber 1 [Env. 17],2025-09-25 16:12:00,11,30,0.0,0.0,0,1,100.0,8,,1,LD,1,-1,0,11|2025-09-25 16:12:00|LD,1.0,0.0,-1.0,1.0,1.0,-1.0,
A_Mouse LD Initial Touch Training v2,Chamber 1 [Env. 17],2025-09-25 16:12:00,11,30,0.0,0.0,0,1,100.0,9,,1,LD,1,-1,0,11|2025-09-25 16:12:00|LD,0.0,1.0,1.0,1.0,-1.0,-1.0,
A_Mouse LD Initial Touch Training v2,Chamber 1 [Env. 17],2025-09-25 16:12:00,11,30,0.0,0.0,0,1,0.0,10,,1,LD,0,-1,1,11|2025-09-25 16:12:00|LD,0.0,1.0,1.0,1.0,-1.0,-1.0,
A_Mouse LD Initial Touch Training v2,Chamber 1 [Env. 17],2025-09-25 16:12:00,11,30,0.0,0.0,0,1,100.0,11,,1,LD,1,-1,0,11|2025-09-25 16:12:00|LD,1.0,0.0,-1.0,1.0,1.0,-1.0,
A_Mouse LD Initial Touch Training v2,Chamber 1 [Env. 17],2025-09-25 16:12:00,11,30,0.0,0.0,0,1,100.0,12,,1,LD,1,-1,0,11|2025-09-25 16:12:00|LD,0.0,1.0,1.0,1.0,-1.0,-1.0,
