Schedule name,Environment name,Schedule run date,Animal ID,End Summary - Condition (1),End Summary - Trials Completed (1),End Summary - No Correction Trials (1),End Summary - % Correct (1),End Summary - Left ITI Touches (1),End Summary - Right ITI Touches (1),Single Trial Result - Condition (1),Single Trial Result - Condition (2),Single Trial Result - Condition (3),Single Trial Result - Condition (4),Single Trial Result - Condition (5),Single Trial Result - Condition (6),Single Trial Result - Condition (7),Single Trial Result - Condition (8),Single Trial Result - Condition (9),Single Trial Result - Condition (10),Single Trial Result - Condition (11),Single Trial Result - Condition (12),Single Trial Result - Condition (13),Single Trial Result - Condition (14),Single Trial Result - Condition (15),Single Trial Result - Condition (16),Single Trial Result - Condition (17),Single Trial Result - Condition (18),Single Trial Result - Condition (19),Single Trial Result - Condition (20),Single Trial Result - Condition (21),Single Trial Result - Condition (22),Single Trial Result - Condition (23),Single Trial Result - Condition (24),Single Trial Result - Condition (25),Single Trial Result - Condition (26),Single Trial Result - Condition (27),Single Trial Result - Condition (28),Single Trial Result - Condition (29),Single Trial Result - Condition (30),Single Trial Result - Trial Percent Correct (1),Single Trial Result - Trial Percent Correct (2),Single Trial Result - Trial Percent Correct (3),Single Trial Result - Trial Percent Correct (4),Single Trial Result - Trial Percent Correct (5),Single Trial Result - Trial Percent Correct (6),Single Trial Result - Trial Percent Correct (7),Single Trial Result - Trial Percent Correct (8),Single Trial Result - Trial Percent Correct (9),Single Trial Result - Trial Percent Correct (10),Single Trial Result - Trial Percent Correct (11),Single Trial Result - Trial Percent Correct (12),Single Trial Result - Trial Percent Correct (13),Single Trial Result - Trial Percent Correct (14),Single Trial Result - Trial Percent Correct (15),Single Trial Result - Trial Percent Correct (16),Single Trial Result - Trial Percent Correct (17),Single Trial Result - Trial Percent Correct (18),Single Trial Result - Trial Percent Correct (19),Single Trial Result - Trial Percent Correct (20),Single Trial Result - Trial Percent Correct (21),Single Trial Result - Trial Percent Correct (22),Single Trial Result - Trial Percent Correct (23),Single Trial Result - Trial Percent Correct (24),Single Trial Result - Trial Percent Correct (25),Single Trial Result - Trial Percent Correct (26),Single Trial Result - Trial Percent Correct (27),Single Trial Result - Trial Percent Correct (28),Single Trial Result - Trial Percent Correct (29),Single Trial Result - Trial Percent Correct (30),Correct touch latency mean,Correct touch latency detail (1),Correct touch latency detail (2),Correct touch latency detail (3),Correct touch latency detail (4),Correct touch latency detail (5),Correct touch latency detail (6),Correct touch latency detail (7),Correct touch latency detail (8),Correct touch latency detail (9),Correct touch latency detail (10),Correct touch latency detail (11),Correct touch latency detail (12),Correct touch latency detail (13),Correct touch latency detail (14),Correct touch latency detail (15),Correct touch latency detail (16),Correct touch latency detail (17),Correct touch latency detail (18),Correct touch latency detail (19),Correct touch latency detail (20),Correct touch latency detail (21),Correct touch latency detail (22),Correct touch latency detail (23),Correct touch latency detail (24),Correct touch latency detail (25),Correct touch latency detail (26),Correct touch latency detail (27),Correct touch latency detail (28),Correct touch latency detail (29),Correct touch latency detail (30),Blank Touch Latency detail (1),Blank Touch Latency detail (2),Blank Touch Latency detail (3),Blank Touch Latency detail (4),Blank Touch Latency detail (5),Blank Touch Latency detail (6),Blank Touch Latency detail (7),Blank Touch Latency detail (8),Blank Touch Latency detail (9),Blank Touch Latency detail (10),Blank Touch Latency detail (11),Blank Touch Latency detail (12),Blank Touch Latency detail (13),Blank Touch Latency detail (14),Blank Touch Latency detail (15),Blank Touch Latency detail (16),Blank Touch Latency detail (17),Blank Touch Latency detail (18),Blank Touch Latency detail (19),Blank Touch Latency detail (20),Blank Touch Latency detail (21),Blank Touch Latency detail (22),Blank Touch Latency mean,Correct Reward Collection mean,Correct Reward Collection detail (1),Correct Reward Collection detail (2),Correct Reward Collection detail (3),Correct Reward Collection detail (4),Correct Reward Collection detail (5),Correct Reward Collection detail (6),Correct Reward Collection detail (7),Correct Reward Collection detail (8),Correct Reward Collection detail (9),Correct Reward Collection detail (10),Correct Reward Collection detail (11),Correct Reward Collection detail (12),Correct Reward Collection detail (13),Correct Reward Collection detail (14),Correct Reward Collection detail (15),Correct Reward Collection detail (16),Correct Reward Collection detail (17),Correct Reward Collection detail (18),Correct Reward Collection detail (19),Correct Reward Collection detail (20),Correct Reward Collection detail (21),Correct Reward Collection detail (22),Correct Reward Collection detail (23),Correct Reward Collection detail (24),Correct Reward Collection detail (25),Correct Reward Collection detail (26),Correct Reward Collection detail (27),Correct Reward Collection detail (28),Correct Reward Collection detail (29),Correct Reward Collection detail (30),Day,Sex,Genotype
A_Mouse LD Punish Incorrect Training v2,Chamber 1 [Env. 17],5/2/2025 14:06,c1m1,742.028,30,0,53.333,14,20,50.785,76.613,97.578,120.506,141.884,164.698,194.019,226.17,269.883,295.259,325.02,343.15,370.664,413.049,437.079,456.81,475.584,500.651,522.412,542.105,564.796,582.08,600.336,618.8,643.303,658.58,676.03,699.774,721.013,742.027,100,0,0,100,100,0,0,0,0,0,0,100,100,100,100,100,100,0,100,100,0,100,100,0,100,100,100,0,0,0,7.543,29.999,6.093,6.032,4.747,9.102,7.775,5.622,6.815,4.546,7.244,5.691,3.762,5.13,10.531,2.325,5.269,,,,,,,,,,,,,,,6.191,3.349,4.918,10.661,7.44,25.671,6.833,11.725,5.689,5.329,1.999,5.353,4.07,1.873,,,,,,,,,7.222,2.128,1.624,2.258,3.183,1.789,2.798,2.066,1.802,1.703,2.695,2.827,1.796,2.285,1.33,2.114,1.667,2.11,,,,,,,,,,,,,,,1,M,+
A_Mouse LD Punish Incorrect Training v2,Chamber 1 [Env. 17],5/6/2025 13:10,c1m1,612.5,30,0,76.667,18,21,22.752,42.806,64.838,90.847,109.588,135.535,156.482,173.978,193.192,210.865,235.95,260.343,279.873,297.547,322.143,345.587,361.911,377.518,398.603,425.8,441.419,457.424,490.716,513.491,534.703,553.321,568.332,582.914,598.13,612.499,100,100,0,100,100,0,100,100,100,100,100,100,0,100,0,100,100,100,0,0,100,100,100,100,100,0,100,100,100,100,4.938,4.234,7.098,11.538,4.713,5.479,3.364,4.362,3.151,6.254,11.499,4.648,9.816,1.977,1.982,2.007,3.322,3.674,8.865,7.667,2.795,1.886,2.245,0.995,,,,,,,,5.865,8.959,2.937,2.664,4.366,10.722,2.61,,,,,,,,,,,,,,,,5.446,1.71,2.334,1.5,1.508,2.253,2.932,1.767,1.305,2.746,1.324,1.239,1.658,1.822,1.304,2.14,1.894,1.335,1.863,1.04,1.567,1.03,1.177,1.718,1.867,,,,,,,,2,M,+
A_Mouse LD 1 choice v2,Chamber 1 [Env. 17],5/7/2025 15:20,c1m1,1314.976,30,0,66.667,20,20,22.712,39.113,56.693,73.719,91.916,115.567,129.97,147.996,171.772,188.286,203.405,224.734,260.177,280.749,306.439,325.131,351.067,381.288,409.105,451.928,471.6,494.282,560.738,612.109,703.405,889.291,1206.946,1277.321,1297.638,1314.975,100,100,100,100,100,0,100,100,0,100,100,100,0,100,100,100,100,0,100,0,100,0,100,0,0,100,100,0,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,M,+
A_Mouse LD 1 choice v2,Chamber 1 [Env. 17],5/8/2025 14:24,c1m1,1620.002,24,0,58.333,4,7,236.665,288.59,353.29,380.714,640.591,670.772,697.167,723.605,769.221,795.33,817.972,841.961,867.942,885.949,903.648,934.287,959.113,974.668,1000.961,1026.675,1207.718,1240.497,1315.722,1357.435,,,,,,,100,100,0,0,0,100,0,0,100,0,100,100,0,100,100,100,100,100,0,0,0,100,100,100,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,M,+
A_Mouse LD 1 choice v2,Chamber 1 [Env. 17],5/9/2025 12:32,c1m1,804.638,30,0,80,22,0,53.656,134.989,153.899,176.811,210.942,258.378,283.137,297.359,314.96,335.779,352.061,368.052,387.814,412.716,434.32,459.423,497.95,515.379,532.006,546.647,563.95,600.578,616.844,638.091,655.608,676.015,700.104,720.781,736.615,804.624,0,0,100,100,0,100,100,100,100,0,100,100,100,0,0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,M,+
A_Mouse LD 1 choice v2,Chamber 1 [Env. 17],5/10/2025 16:35,c1m1,1095.093,30,0,73.333,24,3,27.301,44.765,67.15,87.301,109.269,130.303,149.096,177.561,198.023,217.043,242.389,264.409,297.114,374.088,413.115,435.466,458.648,520.684,537.702,725.234,802.832,832.126,895.085,910.798,939.337,954.642,975.072,1000.023,1061.428,1095.08,100,100,100,100,100,100,100,100,0,100,0,0,0,100,100,100,0,100,100,0,0,100,100,100,100,100,0,100,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,M,+
A_Mouse LD 1 choice v2,Chamber 1 [Env. 17],5/11/2025 17:16,c1m1,597.116,30,0,96.667,23,1,40.757,57.926,74.464,91.966,108.221,127.369,140.929,161.968,177.557,198.381,213.772,229.875,245.949,262.992,277.67,296.619,316.442,330.734,347.772,361.457,380.851,396.348,416.99,439.282,454.451,506.369,520.928,538.404,567.103,597.102,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,M,+
A_Mouse LD 1 choice reversal v3,Chamber 1 [Env. 17],5/12/2025 13:23,c1m1,1620.009,22,0,36.364,4,2,50.85,74.827,89.735,111.234,128.545,145.859,163.623,176.131,205.632,226.805,260.302,493.468,551.569,815.141,847.067,897.781,953.227,1019.518,1045.354,1272.715,1557.754,1575.903,,,,,,,,,100,100,100,100,100,100,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,M,+
A_Mouse LD Punish Incorrect Training v2,Chamber 2 [Env. 18],5/1/2025 14:29,c1m2,912.109,30,0,26.667,29,35,42.343,74.722,93.959,113.142,134.416,148.911,175.281,200.16,219.538,238.402,254.692,281.952,303.852,358.26,389.126,408.715,429.22,454.376,476.209,498.952,520.808,608.447,638.638,656.666,688.697,713.733,742.426,848.694,885.788,912.108,0,0,100,0,0,100,0,0,100,100,100,0,0,0,100,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,4.43,4.359,2.026,4.994,5.275,2.946,9.028,2.358,4.454,,,,,,,,,,,,,,,,,,,,,,,14.195,13.105,2.016,4.466,7.013,3.046,9.368,2.468,27.938,3.496,0.915,6.927,1.262,5.107,3.046,70.92,8.813,12.128,4.04,3.66,86.475,10.001,13.655,1.517,1.603,1.124,1.939,1.044,1.338,1.808,1.24,2.042,,,,,,,,,,,,,,,,,,,,,,,1,M,+
A_Mouse LD Punish Incorrect Training v2,Chamber 2 [Env. 18],5/2/2025 14:06,c1m2,1222.218,30,0,26.667,19,21,30.243,53.808,87.76,109.974,154.494,195.474,226.979,398.857,439.382,482.666,529.559,559.714,586.237,690.393,727.596,755.504,812.672,840.816,869.558,896.164,931.27,959.287,982.494,1002.936,1044.341,1085.113,1121.921,1146.984,1189.257,1222.216,0,0,0,0,0,0,0,100,0,0,100,0,0,0,100,0,0,100,0,0,0,0,0,100,0,100,0,100,0,100,23.943,155.328,13.075,4.99,2.285,2.726,8.644,2.301,2.195,,,,,,,,,,,,,,,,,,,,,,,5.993,6.031,2.712,4.632,2.475,22.009,1.944,7.575,26.354,3.91,6.321,82.552,3.853,40.282,8.063,3.549,7.222,6.06,3.092,4.96,5.088,24.554,12.692,2.065,3.356,1.757,1.603,1.538,1.826,2.733,1.959,1.744,,,,,,,,,,,,,,,,,,,,,,,2,M,+
