Schedule name,Environment name,Schedule run date,Animal ID,Max_Schedule_Time,End Summary - Condition (1),End Summary - Trials Completed (1),End Summary - No Correction Trials (1),End Summary - % Correct (1),End Summary - Left ITI Touches (1),End Summary - Right ITI Touches (1),Correct touch latency (1),Correct touch latency (2),Correct touch latency (3),Correct touch latency (4),Correct touch latency (5),Correct touch latency (6),Correct touch latency (7),Correct touch latency (8),Correct touch latency (9),Correct touch latency (10),Correct touch latency (11),Correct touch latency (12),Correct touch latency (13),Correct touch latency (14),Correct touch latency (15),Correct touch latency (16),Correct touch latency (17),Correct touch latency (18),Correct touch latency (19),Correct touch latency (20),Correct touch latency (21),Correct touch latency (22),Correct touch latency (23),Correct touch latency (24),Correct touch latency (25),Correct touch latency (26),Correct touch latency (27),Correct touch latency (28),Correct touch latency (29),Correct touch latency (30),Incorrect Touch Latency (1),Incorrect Touch Latency (2),Incorrect Touch Latency (3),Incorrect Touch Latency (4),Incorrect Touch Latency (5),Incorrect Touch Latency (6),Incorrect Touch Latency (7),Incorrect Touch Latency (8),Incorrect Touch Latency (9),Incorrect Touch Latency (10),Incorrect Touch Latency (11),Incorrect Touch Latency (12),Incorrect Touch Latency (13),Incorrect Touch Latency (14),Incorrect Touch Latency (15),Incorrect Touch Latency (16),Incorrect Touch Latency (17),Incorrect Touch Latency (18),Incorrect Touch Latency (19),Incorrect Touch Latency (20),Incorrect Touch Latency (21),Incorrect Touch Latency (22),Incorrect Touch Latency (23),Incorrect Touch Latency (24),Incorrect Touch Latency (25),Incorrect Touch Latency (26),Incorrect Touch Latency (27),Incorrect Touch Latency (28),Incorrect Touch Latency (29),Incorrect Touch Latency (30),Incorrect Touch Latency (31),Incorrect Touch Latency (32),Incorrect Touch Latency (33),Incorrect Touch Latency (34),Incorrect Touch Latency (35),Incorrect Touch Latency (36),Incorrect Touch Latency (37),Incorrect Touch Latency (38),Incorrect Touch Latency (39),Incorrect Touch Latency (40),Incorrect Touch Latency (41),Incorrect Touch Latency (42),Incorrect Touch Latency (43),Incorrect Touch Latency (44),Incorrect Touch Latency (45),Incorrect Touch Latency (46),Incorrect Touch Latency (47),Incorrect Touch Latency (48),Incorrect Touch Latency (49),Incorrect Touch Latency (50),Incorrect Touch Latency (51),Incorrect Touch Latency (52),Incorrect Touch Latency (53),Correct Left touch latency (1),Correct Left touch latency (2),Correct Left touch latency (3),Correct Left touch latency (4),Correct Left touch latency (5),Correct Left touch latency (6),Correct Left touch latency (7),Correct Left touch latency (8),Correct Left touch latency (9),Correct Left touch latency (10),Correct Left touch latency (11),Correct Left touch latency (12),Correct Left touch latency (13),Correct Left touch latency (14),Correct Left touch latency (15),Correct Right touch latency (1),Correct Right touch latency (2),Correct Right touch latency (3),Correct Right touch latency (4),Correct Right touch latency (5),Correct Right touch latency (6),Correct Right touch latency (7),Correct Right touch latency (8),Correct Right touch latency (9),Correct Right touch latency (10),Correct Right touch latency (11),Correct Right touch latency (12),Correct Right touch latency (13),Correct Right touch latency (14),Correct Right touch latency (15),Correct Reward Collection (1),Correct Reward Collection (2),Correct Reward Collection (3),Correct Reward Collection (4),Correct Reward Collection (5),Correct Reward Collection (6),Correct Reward Collection (7),Correct Reward Collection (8),Correct Reward Collection (9),Correct Reward Collection (10),Correct Reward Collection (11),Correct Reward Collection (12),Correct Reward Collection (13),Correct Reward Collection (14),Correct Reward Collection (15),Correct Reward Collection (16),Correct Reward Collection (17),Correct Reward Collection (18),Correct Reward Collection (19),Correct Reward Collection (20),Correct Reward Collection (21),Correct Reward Collection (22),Correct Reward Collection (23),Correct Reward Collection (24),Correct Reward Collection (25),Correct Reward Collection (26),Correct Reward Collection (27),Correct Reward Collection (28),Correct Reward Collection (29),Correct Reward Collection (30),1 Trial analysis - Condition (1),1 Trial analysis - Condition (2),1 Trial analysis - Condition (3),1 Trial analysis - Condition (4),1 Trial analysis - Condition (5),1 Trial analysis - Condition (6),1 Trial analysis - Condition (7),1 Trial analysis - Condition (8),1 Trial analysis - Condition (9),1 Trial analysis - Condition (10),1 Trial analysis - Condition (11),1 Trial analysis - Condition (12),1 Trial analysis - Condition (13),1 Trial analysis - Condition (14),1 Trial analysis - Condition (15),1 Trial analysis - Condition (16),1 Trial analysis - Condition (17),1 Trial analysis - Condition (18),1 Trial analysis - Condition (19),1 Trial analysis - Condition (20),1 Trial analysis - Condition (21),1 Trial analysis - Condition (22),1 Trial analysis - Condition (23),1 Trial analysis - Condition (24),1 Trial analysis - Condition (25),1 Trial analysis - Condition (26),1 Trial analysis - Condition (27),1 Trial analysis - Condition (28),1 Trial analysis - Condition (29),1 Trial analysis - Condition (30),1 Trial analysis - No. Correct (1),1 Trial analysis - No. Correct (2),1 Trial analysis - No. Correct (3),1 Trial analysis - No. Correct (4),1 Trial analysis - No. Correct (5),1 Trial analysis - No. Correct (6),1 Trial analysis - No. Correct (7),1 Trial analysis - No. Correct (8),1 Trial analysis - No. Correct (9),1 Trial analysis - No. Correct (10),1 Trial analysis - No. Correct (11),1 Trial analysis - No. Correct (12),1 Trial analysis - No. Correct (13),1 Trial analysis - No. Correct (14),1 Trial analysis - No. Correct (15),1 Trial analysis - No. Correct (16),1 Trial analysis - No. Correct (17),1 Trial analysis - No. Correct (18),1 Trial analysis - No. Correct (19),1 Trial analysis - No. Correct (20),1 Trial analysis - No. Correct (21),1 Trial analysis - No. Correct (22),1 Trial analysis - No. Correct (23),1 Trial analysis - No. Correct (24),1 Trial analysis - No. Correct (25),1 Trial analysis - No. Correct (26),1 Trial analysis - No. Correct (27),1 Trial analysis - No. Correct (28),1 Trial analysis - No. Correct (29),1 Trial analysis - No. Correct (30),1 Trial analysis - Percentage Correct (1),1 Trial analysis - Percentage Correct (2),1 Trial analysis - Percentage Correct (3),1 Trial analysis - Percentage Correct (4),1 Trial analysis - Percentage Correct (5),1 Trial analysis - Percentage Correct (6),1 Trial analysis - Percentage Correct (7),1 Trial analysis - Percentage Correct (8),1 Trial analysis - Percentage Correct (9),1 Trial analysis - Percentage Correct (10),1 Trial analysis - Percentage Correct (11),1 Trial analysis - Percentage Correct (12),1 Trial analysis - Percentage Correct (13),1 Trial analysis - Percentage Correct (14),1 Trial analysis - Percentage Correct (15),1 Trial analysis - Percentage Correct (16),1 Trial analysis - Percentage Correct (17),1 Trial analysis - Percentage Correct (18),1 Trial analysis - Percentage Correct (19),1 Trial analysis - Percentage Correct (20),1 Trial analysis - Percentage Correct (21),1 Trial analysis - Percentage Correct (22),1 Trial analysis - Percentage Correct (23),1 Trial analysis - Percentage Correct (24),1 Trial analysis - Percentage Correct (25),1 Trial analysis - Percentage Correct (26),1 Trial analysis - Percentage Correct (27),1 Trial analysis - Percentage Correct (28),1 Trial analysis - Percentage Correct (29),1 Trial analysis - Percentage Correct (30),Correct touch latency mean,Incorrect Touch Latency mean,Correct Left touch latency mean,Correct Right touch latency mean,Correct Reward Collection mean,Sex,Day,Genotype
A_Mouse Pairwise Must Touch Training v3,Chamber 2 [Env. 18],6/5/2025 15:29,c1m2,1620,728.013,30,0,0,94,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.87,83.635,106.488,132.52,154.597,177.611,200.398,225.156,248.774,271.065,293.714,316.987,338.311,361.121,383.672,412.45,435.688,457.055,479.143,501.688,524.234,545.372,567.053,590.076,612.575,634.907,656.738,682.262,704.389,728.013,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,M,1,+
A_Mouse Pairwise Punish Incorrect Training v3,Chamber 2 [Env. 18],6/6/2025 15:05,c1m2,1620,762.862,30,0,93.333,52,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.39,50.719,75.947,100.986,125.5,150.121,175.394,199.169,223.469,248.871,276.228,302.044,328.933,358.026,386.414,414.391,436.783,467.97,492.617,517.078,540.602,563.919,590.247,612.9,636.039,663.006,688.268,711.977,737.243,762.861,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,0,100,100,100,100,100,100,100,100,100,100,100,100,0,0,0,0,0,M,2,+
A_Mouse Pairwise Discrimination v3,Chamber 2 [Env. 18],6/9/2025 15:50,c1m2,1620,1341.423,30,21,70,41,50,2.354,1.661,1.036,1.011,1.161,1.083,1.346,2.512,2.041,1.137,1.071,2.866,1.273,1.062,2.974,0.961,2.488,0.525,1.177,1.093,1.125,2.764,0.97,0.771,1.605,1.227,0.792,1.599,1.165,1.06,1.038,0.914,1.213,0.861,0.863,0.85,1.126,0.938,1.704,1.159,1.365,1.367,1.555,1.319,2.247,1.495,1.151,1.392,2.065,0.794,1.517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.011,1.161,1.083,2.041,1.137,1.071,1.273,1.062,2.974,0.961,1.125,2.764,0.97,0.771,0.792,2.354,1.661,1.036,1.346,2.512,2.866,2.488,0.525,1.177,1.093,1.605,1.227,1.599,1.165,1.06,0.982,0.817,1.084,0.911,0.863,0.888,0.973,0.814,0.984,0.899,1.014,0.91,0.804,0.905,1.095,0.746,0.882,0.772,1.027,1.076,0.98,0.927,0.912,0.806,0.969,1.265,0.781,0.833,0.897,1.369,27.304,54.078,81.194,271.902,300.002,322.814,352.841,460.492,557.379,606.345,629.402,655.678,680.207,703.833,729.891,754.585,778.981,806.498,881.013,903.979,927.097,955.886,1005.148,1028.347,1057.555,1105.113,1127.81,1156.185,1267.644,1341.411,1,1,0,1,1,1,0,0,0,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1,0,0,1,100,100,0,100,100,100,0,0,0,100,100,100,100,100,100,100,100,0,100,100,100,0,100,100,0,100,100,0,0,100,1.464,1.283,1.346,1.581,0.94,M,3,+
A_Mouse Pairwise Discrimination v3,Chamber 2 [Env. 18],6/10/2025 13:27,c1m2,1620,1422.377,30,23,56.667,50,63,1.444,0.99,1.083,1.953,1.119,1.061,1.39,1.222,1.196,1.038,1.247,1.162,0.897,1.976,1.289,2.148,1.511,4.105,2.088,1.39,2.39,1.105,3.391,1.363,2.621,1.125,0.806,1.194,0.997,3.449,5.079,1.358,1.423,1.048,1.189,1.301,1.169,1.357,2.144,2.188,2.744,2.37,1.968,2.204,2.216,2.248,3.11,1.457,1.189,1.351,1.444,1.972,2.469,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.444,1.119,1.061,1.222,1.038,1.162,1.976,2.148,1.511,2.088,1.105,2.621,1.125,0.806,0.997,0.99,1.083,1.953,1.39,1.196,1.247,0.897,1.289,4.105,1.39,2.39,3.391,1.363,1.194,3.449,0.819,1.073,0.771,1.01,0.967,0.971,0.827,0.905,1.069,0.803,0.971,0.908,1.091,1.294,0.973,1.063,0.753,1.12,2.067,0.9,1.061,0.848,0.967,0.973,1.26,1.075,0.835,1.159,0.861,0.927,31.467,111.62,218.381,270.596,323.655,353.342,406.506,451.912,477.481,501.931,532.197,640.974,673.389,698.284,727.413,837.06,863.583,890.53,914.699,942.097,994.54,1017.665,1042.687,1071.779,1124.196,1180.008,1283.857,1311.214,1339.857,1422.376,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,0,0,0,100,0,0,100,100,100,0,100,100,100,0,100,100,100,100,0,100,100,100,0,0,0,100,100,0,100,1.625,1.956,1.428,1.822,1.011,M,4,+
A_Mouse Pairwise Discrimination v3,Chamber 2 [Env. 18],6/11/2025 13:54,c1m2,1620,1272.098,30,18,70,55,77,2.305,0.959,1.336,5.47,3.043,1.834,0.996,0.915,1.222,1.153,2.163,0.921,1.223,3.278,1.945,3.403,1.291,1.234,1.338,0.949,1.183,2.251,3.67,2.021,2.881,1.241,1.119,2.198,1.06,,1.437,3.469,2.254,1.14,1.07,2.587,1.307,1.851,1.836,2.64,1.73,1.364,1.318,1.03,1.57,0.966,1.298,1.564,1.365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.305,0.959,3.043,1.834,0.996,2.163,1.223,1.945,1.234,1.338,2.251,2.021,2.881,1.06,,1.336,5.47,0.915,1.222,1.153,0.921,3.278,3.403,1.291,0.949,1.183,3.67,1.241,1.119,2.198,0.832,0.976,0.962,0.894,0.751,0.803,0.825,0.829,0.961,0.926,1.031,0.902,0.842,0.844,0.857,0.932,0.977,1.004,0.9,1.459,0.869,0.911,0.997,0.908,0.888,1.354,0.98,0.9,0.836,,28.12,53.532,82.59,191.839,216.661,240.365,268.221,315.001,338.233,364.656,389.845,414.203,437.225,462.258,486.746,512.641,538.726,596.809,648.806,673.221,701.332,729.12,836.578,866.056,919.866,1026.387,1049.69,1078.93,1106.676,1272.097,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,0,1,1,1,0,0,100,100,0,100,100,100,0,100,100,100,100,100,100,100,100,100,0,0,100,100,100,0,100,0,0,100,100,100,0,0,1.883,1.673,1.804,1.957,0.936,M,5,+
A_Mouse Pairwise Discrimination v3,Chamber 2 [Env. 18],6/12/2025 15:21,c1m2,1620,1109.352,30,11,73.333,43,45,1.396,1.557,1.013,3.426,3.238,1.191,1.005,1.8,0.952,3.573,1.076,1.903,2.092,0.975,2.703,3.133,0.873,2.977,0.847,4.208,3.536,0.925,5.033,0.873,2.98,1.228,1.115,0.934,2.911,1.124,1.72,4.476,1.657,1.422,1.937,1.524,2.021,1.206,1.521,2.148,2.794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.396,3.426,1.191,1.005,1.8,1.903,2.092,0.975,0.873,0.847,0.925,0.873,1.115,0.934,1.124,1.557,1.013,3.238,0.952,3.573,1.076,2.703,3.133,2.977,4.208,3.536,5.033,2.98,1.228,2.911,2.757,0.967,0.864,1.006,1.261,0.963,1.079,1.838,0.86,1.207,0.845,0.944,2.047,0.795,1.176,1.669,0.843,1.103,0.776,1.088,1.132,0.967,1.51,0.755,1.333,0.945,0.925,0.843,0.958,0.761,30.848,120.249,170.062,196.485,223.907,306.876,334.941,384.922,414.32,470.276,494.052,521.241,578.578,628.253,653.544,683.93,707.131,733.623,756.722,782.206,809.744,833.616,861.166,889.03,974.429,1006.545,1032.568,1060.032,1085.059,1109.351,0,0,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,0,100,100,0,100,0,100,0,100,100,0,0,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,2.02,2.039,1.365,2.675,1.141,M,6,+
A_Mouse Pairwise Discrimination v3,Chamber 2 [Env. 18],6/13/2025 13:18,c1m2,1620,810.323,30,2,93.333,36,37,1.153,4.166,1.697,1.187,0.978,1.021,1.441,1.434,1.75,0.961,1.104,5.003,2.123,1.598,2.696,0.983,6.514,1.716,3.282,1.687,3.425,0.893,2.867,4.333,1.665,3.283,1.545,2.247,0.742,1.259,1.539,1.516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.187,1.021,1.441,1.434,0.961,1.104,2.123,2.696,0.983,1.687,0.893,1.545,2.247,0.742,1.259,1.153,4.166,1.697,0.978,1.75,5.003,1.598,6.514,1.716,3.282,3.425,2.867,4.333,1.665,3.283,2.029,0.999,1.003,0.801,0.995,0.909,1.189,0.884,1.348,0.834,0.968,1.177,1.563,1.789,0.734,0.915,0.879,0.996,0.823,1.831,0.787,0.846,0.885,0.795,1.018,1.036,1.297,1.727,1.064,1.018,28.212,55.029,79.077,103.381,128.902,154.021,177.723,200.057,224.516,248.25,271.922,301.226,329.196,355.554,380.017,402.851,430.486,454.282,478.476,502.963,530.346,579.534,603.306,628.647,654.264,680.625,706.03,733.857,781.456,810.31,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,0,100,100,100,100,100,100,0,100,100,2.158,1.528,1.422,2.895,1.105,M,7,+
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 2 [Env. 18],6/16/2025 15:21,c1m2,1620,1620,6,51,16.667,82,98,1.242,2.324,1.273,1.207,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,1.689,1.065,0.922,1.462,0.884,1.813,0.941,1.697,0.939,3.614,0.994,1.023,0.961,1.051,0.812,1.685,1.571,2.978,1.472,1.383,2.416,2.363,0.899,2.923,0.924,1.102,2.898,0.893,1.062,3.932,1.017,4.294,2.766,1.174,1.021,2.783,1.136,1.919,3.821,3.036,3.974,2.534,2.952,3.052,1.424,0.863,1.612,2.315,0.96,2.163,2.448,2.001,,2.324,1.273,1.207,,,,,,,,,,,,,1.242,1.71,,,,,,,,,,,,,,0.957,0.867,0.735,0.822,0.849,,,,,,,,,,,,,,,,,,,,,,,,,,33.582,655.828,912.846,1296.776,1429.976,1459.855,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,100,0,,,,,,,,,,,,,,,,,,,,,,,,,1.551,1.878,1.601,1.476,0.846,M,8,+
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 2 [Env. 18],6/17/2025 14:35,c1m2,1620,1620,6,46,33.333,62,81,2.105,5.59,2.505,1.588,1.749,,,,,,,,,,,,,,,,,,,,,,,,,,0.971,2.475,1.142,1.973,4.239,0.691,1.604,2.192,4.7,4,1.877,0.922,2.79,2.682,3.808,2.363,3.006,1.778,6.652,4.57,5.359,1.534,2.381,1.886,0.928,1.114,1.125,9.924,1.089,1.464,3.595,6.326,2.131,4.599,1.108,2.645,2.596,2.035,1.125,7.129,5.347,3.717,2.352,1.185,2.192,5.418,1.098,,,,,,,2.105,1.588,1.749,,,,,,,,,,,,,5.59,2.505,,,,,,,,,,,,,,0.913,0.893,0.693,1.173,0.804,,,,,,,,,,,,,,,,,,,,,,,,,,28.972,56.088,1033.41,1209.272,1238.149,1591.986,,,,,,,,,,,,,,,,,,,,,,,,,1,0,0,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,100,0,0,100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2.707,2.89,1.814,4.048,0.895,M,9,+
A_Mouse Pairwise Discrimination v3 - Reversal,Chamber 2 [Env. 18],6/18/2025 14:56,c1m2,1620,1620,11,36,36.364,129,82,4.649,2.429,2.411,3.414,1.192,5.842,9.049,0.949,1.719,1.659,3.931,,,,,,,,,,,,,,,,,,,,1.718,1.263,1.191,1.616,1.255,1.687,1.683,2.521,1.129,1.297,3.996,1.069,1.314,1.045,5.262,1.603,2.024,9.689,3.495,1.885,2.72,1.645,5.253,3.325,1.062,1.106,1.495,1.013,1.428,1.49,2.075,1.854,2.717,3.65,1.612,1.923,,,,,,,,,,,,,,,,,,4.649,2.411,3.414,9.049,1.659,3.931,,,,,,,,,,2.429,1.192,5.842,0.949,1.719,,,,,,,,,,,1.572,3.002,1.476,1.458,1.371,2.999,1.152,0.779,0.863,1.25,1.209,,,,,,,,,,,,,,,,,,,,32.982,64.812,182.985,213.236,625.426,760.825,1094.372,1341.465,1382.619,1579.342,1608.979,,,,,,,,,,,,,,,,,,,,1,0,1,0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,100,0,100,0,0,0,0,100,0,100,0,,,,,,,,,,,,,,,,,,,,3.386,2.253,4.186,2.426,1.557,M,10,+
