animal_id,cohort,genotype,n_trials,early_accuracy,late_accuracy,accuracy_change,pi_early_accuracy,pi_late_accuracy,pi_accuracy_change,has_pi,is_late_lapser,is_pi_lapser,dominant_late_state
c1m1,W,+,12,0.1833325,0.7,0.5166675,,,,False,False,False,2
c1m2,W,+,40,0.4615384615384616,0.459435,-0.0021034615384616373,,,,False,False,False,0
c1m3,W,+,42,0.45000000000000007,0.39194999999999997,-0.0580500000000001,,,,False,False,False,2
c1m4,W,+,40,0.43589692307692307,0.34662857142857145,-0.08926835164835162,0.673334,0.6833316666666667,0.009997666666666682,True,False,False,0
c2m1,W,+,41,0.41538384615384616,0.6405564285714286,0.22517258241758242,,,,False,False,False,0
c2m2,W,+,40,0.4,0.6260235714285713,0.22602357142857132,,,,False,False,False,2
c2m3,W,+,41,0.4128207692307692,0.6474492857142857,0.2346285164835165,0.5222233333333333,0.62247,0.1002466666666667,True,False,False,2
c2m4,W,+,40,0.44652153846153847,0.37496571428571424,-0.07155582417582423,,,,False,False,False,0
c2m5,W,+,40,0.4384615384615384,0.4141657142857143,-0.0242958241758241,,,,False,False,False,1
c3m1,W,-,40,0.4148146153846154,0.5653271428571428,0.1505125274725274,,,,False,False,False,1
c3m2,W,-,40,0.35864461538461534,0.6563199999999999,0.29767538461538456,,,,False,False,False,0
c3m3,W,-,40,0.44894230769230775,0.6276971428571428,0.1787548351648351,,,,False,False,False,2
c3m4,W,-,40,0.5091500000000001,0.33650785714285714,-0.17264214285714297,,,,False,True,False,0
c3m5,W,-,41,0.4914230769230769,0.39995357142857146,-0.09146950549450544,0.6510339999999999,0.34805166666666665,-0.30298233333333324,True,False,True,1
c4m1,W,-,40,0.44615384615384623,0.39298285714285713,-0.0531709890109891,0.6047614285714287,0.6088100000000001,0.004048571428571401,True,False,False,0
c4m2,W,-,41,0.32549999999999996,0.44687,0.12137000000000003,,,,False,False,False,1
c4m3,W,-,40,0.45658,0.5359478571428571,0.0793678571428571,,,,False,False,False,2
c4m4,W,-,41,0.5072992307692308,0.3865828571428572,-0.12071637362637361,,,,False,True,False,0
c4m5,W,-,40,0.43500615384615393,0.4411042857142857,0.006098131868131795,,,,False,False,False,2
11,F,+,19,0.44999999999999996,0.4190471428571429,-0.03095285714285706,,,,False,False,False,0
12,F,+,19,0.5666683333333333,0.22380857142857138,-0.342859761904762,0.5666683333333333,0.5666657142857142,-2.619047619112358e-06,True,True,False,1
13,F,+,19,0.83889,0.3095242857142857,-0.5293657142857143,,,,False,True,False,2
14,F,+,19,0.6777799999999999,0.33333285714285715,-0.3444471428571428,0.6166683333333333,0.45714285714285713,-0.15952547619047613,True,True,True,2
21,F,+,19,0.5777783333333334,0.22234428571428572,-0.3554340476190477,,,,False,True,False,2
22,F,+,19,0.6055566666666666,0.3666671428571429,-0.23888952380952372,0.6541675,0.6625,0.008332499999999965,True,True,False,0
23,F,+,19,0.49444333333333335,0.4714285714285714,-0.023014761904761927,,,,False,False,False,0
24,F,+,19,0.394445,0.17142857142857143,-0.22301642857142856,0.41666749999999997,0.28034625,-0.13632124999999995,True,True,True,2
25,F,+,19,0.6111116666666667,0.4047614285714286,-0.20635023809523811,,,,False,True,False,2
31,F,+,19,0.53889,0.19047571428571428,-0.3484142857142857,,,,False,True,False,2
32,F,+,19,0.5980583333333334,0.15238142857142858,-0.4456769047619048,,,,False,True,False,1
33,F,+,19,0.7529216666666666,0.1029757142857143,-0.6499459523809523,,,,False,True,False,1
34,F,+,19,0.533335,0.24761857142857144,-0.28571642857142854,,,,False,True,False,2
41,F,-/-,19,0.20421166666666665,0.06190571428571428,-0.14230595238095237,0.20360999999999999,0.1960575,-0.00755249999999999,True,True,False,1
42,F,+/+,19,0.5499999999999999,0.23809428571428568,-0.31190571428571423,,,,False,True,False,1
51,F,+/+,19,0.5125000000000001,0.3376928571428572,-0.17480714285714288,,,,False,True,False,1
52,F,+/+,19,0.666665,0.45714285714285713,-0.20952214285714282,,,,False,True,False,1
61,F,+/-,20,0.6920266666666667,0.38095142857142855,-0.3110752380952381,0.7253600000000001,0.5499983333333333,-0.17536166666666686,True,True,True,1
62,F,+/-,19,0.58889,0.43142714285714284,-0.15746285714285718,,,,False,True,False,0
63,F,-/-,19,0.14373166666666667,0.18108285714285713,0.037351190476190455,0.14529875,0.2642255555555556,0.1189268055555556,True,False,False,1
64,F,-/-,18,0.4291833333333333,0.195385,-0.2337983333333333,0.42349000000000003,0.32586625,-0.09762375000000001,True,True,False,0
71,F,+/-,19,0.53889,0.2809514285714286,-0.2579385714285714,0.5285728571428572,0.49166625,-0.03690660714285715,True,True,False,2
72,F,+/+,19,0.7777783333333333,0.21428714285714287,-0.5634911904761905,,,,False,True,False,1
73,F,+/-,20,0.5944433333333333,0.39999857142857137,-0.19444476190476195,,,,False,True,False,2
81,F,+/-,19,0.48333333333333334,0.25238,-0.23095333333333334,,,,False,True,False,2
82,F,-/-,19,0.6944433333333332,0.4571428571428572,-0.237300476190476,,,,False,True,False,1
83,F,+/+,19,0.6944416666666666,0.2904771428571428,-0.4039645238095238,0.6476171428571428,0.4095242857142857,-0.2380928571428571,True,True,True,1
84,F,+/+,19,0.19369666666666663,0.10285714285714286,-0.09083952380952377,0.19065571428571423,0.18200625,-0.008649464285714226,True,False,False,0
91,F,+/+,19,0.2833333333333333,0.5333342857142858,0.25000095238095243,,,,False,False,False,2
92,F,-/-,19,0.15022499999999997,0.10713285714285714,-0.04309214285714283,0.14304999999999998,0.15254,0.009490000000000026,True,False,False,1
93,F,-/-,19,0.28150000000000003,0.2136171428571429,-0.06788285714285713,0.2944575,0.25112111111111113,-0.043336388888888855,True,False,False,1
101,F,+/-,19,0.6666683333333334,0.4857142857142857,-0.1809540476190477,,,,False,True,False,1
102,F,+/-,19,0.566665,0.19523857142857143,-0.37142642857142855,0.5809514285714286,0.5333337499999999,-0.04761767857142862,True,True,False,2
103,F,-/-,19,0.37777666666666665,0.11904714285714284,-0.2587295238095238,0.4047614285714286,0.34821375,-0.05654767857142862,True,True,False,2
104,F,+/+,19,0.7277800000000001,0.32857142857142857,-0.3992085714285715,,,,False,True,False,1
