Cohort,Genotype,N,State,Accuracy_Mean,Accuracy_SD,WSLS_Mean,WSLS_SD,SideBias_Mean,SideBias_SD,Occupancy_Mean,Occupancy_SD,DwellTime_Mean,DwellTime_SD
F,+,13,0,0.576,0.188,1.035,0.117,0.452,0.193,0.312,0.148,25.640,26.218
F,+,13,1,0.588,0.148,1.177,0.286,0.460,0.135,0.307,0.143,27.768,32.075
F,+,13,2,0.666,0.218,1.174,0.278,0.378,0.247,0.382,0.161,23.983,20.343
F,+/+,8,0,0.587,0.158,1.242,0.146,0.467,0.122,0.303,0.126,38.060,36.676
F,+/+,8,1,0.630,0.120,1.074,0.073,0.381,0.157,0.453,0.213,21.832,19.086
F,+/+,8,2,0.584,0.221,0.894,0.322,0.430,0.214,0.243,0.170,14.860,11.940
F,+/-,7,0,0.628,0.180,0.980,0.318,0.407,0.269,0.152,0.109,19.645,24.999
F,+/-,7,1,0.627,0.233,1.138,0.185,0.388,0.239,0.415,0.205,45.381,59.944
F,+/-,7,2,0.618,0.072,1.031,0.191,0.460,0.101,0.433,0.224,43.031,37.606
F,-/-,7,0,0.356,0.237,1.109,0.209,0.622,0.193,0.334,0.140,15.438,11.029
F,-/-,7,1,0.291,0.157,0.988,0.181,0.713,0.152,0.435,0.137,22.926,12.439
F,-/-,7,2,0.594,0.244,1.020,0.500,0.279,0.201,0.231,0.210,17.855,31.193
