Comparison,Group1,Group2,n1,n2,Median1,IQR1,Median2,IQR2,U_statistic,p_value,p_bonferroni,Significant,Effect_size_r,Effect_interpretation
A1D_Het vs A1D_KO,A1D_Het,A1D_KO,7,7,14.24731182795699,17.190454176546766,21.393034825870647,5.577164085651429,17.0,0.36898040905566154,3.689804090556615,No,0.25612041628594145,Small
A1D_Het vs A1D_Wt,A1D_Het,A1D_Wt,7,8,14.24731182795699,17.190454176546766,6.415478615071284,15.120967741935484,37.0,0.30965590304585666,3.0965590304585664,No,0.26892643710023856,Small
A1D_Het vs B6,A1D_Het,B6,7,22,14.24731182795699,17.190454176546766,0.0,20.67865337447583,98.0,0.26753777490681785,2.6753777490681783,No,0.19874212588648862,Small
A1D_Het vs C3H x B6,A1D_Het,C3H x B6,7,10,14.24731182795699,17.190454176546766,12.30432905106337,18.910429897998466,41.0,0.5832524127936689,5.832524127936689,No,0.14201432049934526,Small
A1D_KO vs A1D_Wt,A1D_KO,A1D_Wt,7,8,21.393034825870647,5.577164085651429,6.415478615071284,15.120967741935484,49.0,0.015694295206034586,0.15694295206034586,No,0.6274950199005566,Large
A1D_KO vs B6,A1D_KO,B6,7,22,21.393034825870647,5.577164085651429,0.0,20.67865337447583,110.0,0.0825636148232579,0.825636148232579,No,0.3123090549644821,Medium
A1D_KO vs C3H x B6,A1D_KO,C3H x B6,7,10,21.393034825870647,5.577164085651429,12.30432905106337,18.910429897998466,54.0,0.06755622710576804,0.6755622710576804,No,0.44971201491459334,Medium
A1D_Wt vs B6,A1D_Wt,B6,8,22,6.415478615071284,15.120967741935484,0.0,20.67865337447583,85.0,0.898730186467484,8.98730186467484,No,0.025687040446902815,Negligible
A1D_Wt vs C3H x B6,A1D_Wt,C3H x B6,8,10,6.415478615071284,15.120967741935484,12.30432905106337,18.910429897998466,32.0,0.4856143845270817,4.856143845270817,No,0.16754156331667822,Small
B6 vs C3H x B6,B6,C3H x B6,22,10,0.0,20.67865337447583,12.30432905106337,18.910429897998466,100.0,0.6797453154807891,6.797453154807891,No,0.07186994682200862,Negligible
